source	target
Pharming (genetics)	Receptor (biochemistry)
Self-assembled monolayer	Self-assembly
Self-assembled monolayer	X-ray photoelectron spectroscopy
Meroplankton	Zooplankton
Superatom	Lennard-Jones potential
Superatom	Quantum dot
Potential energy surface	Morse/Long-range potential
RNA polymerase I	Genetic recombination
RNA polymerase I	RNA polymerase
Hermann Müller (botanist)	Charles Darwin
Hermann Müller (botanist)	Charles Darwin
Chandra Wickramasinghe	Cosmic ancestry
Chandra Wickramasinghe	Milton Wainwright
Miraculin	G protein-coupled receptor
Clausius–Clapeyron relation	Meteorology
Heirloom plant	Heirloom tomato
Ecological anthropology	Charles Darwin
Mark Ridley (zoologist)	W. D. Hamilton
Technetium-99m generator	Technetium-99m
Restoration ecology	Regeneration (ecology)
Restoration ecology	Population genetics
Restoration ecology	Stream restoration
Maximal independent set	Perrin number
Invariant polynomial	Lie group
E8 lattice	Hamming code
Mathematical structure	Lie group
Plasmodesma	Desmosome
Coherent duality	Jean-Pierre Serre
Coherent duality	Verdier duality
Quantum fluid	Macroscopic quantum phenomena
Hamiltonian vector field	Poisson bracket
Hamiltonian vector field	Hamiltonian mechanics
Hamiltonian vector field	Poisson bracket
Hamiltonian vector field	Poisson bracket
Hamiltonian vector field	Poisson bracket
Molecular neuroscience	Histology
Molecular neuroscience	G protein-coupled receptor
Molecular neuroscience	G protein-coupled receptor
Electron crystallography	X-ray crystallography
Cartesian tensor	Three-dimensional space
Cartesian tensor	Norm (mathematics)
Teichmüller space	Ball (mathematics)
Teichmüller space	Henri Poincaré
Teichmüller space	Complex manifold
Teichmüller space	Annulus (mathematics)
Teichmüller space	Conformal geometry
Teichmüller space	Lie group
Massimo Pigliucci	Theodosius Dobzhansky
Complete Boolean algebra	Cantor algebra
Biodistribution	Positron emission tomography
Social grooming	Charles Darwin
Social grooming	W. D. Hamilton
Counting efficiency	Elementary particle
Cartan's equivalence method	Complex manifold
Cartan's equivalence method	Lie group
Nutritional genomics	Single-nucleotide polymorphism
Crank–Nicolson method	Von Neumann stability analysis
Chain drive	Leonardo da Vinci
Chain drive	Leonardo da Vinci
Zitterbewegung	Erwin Schrödinger
Zitterbewegung	Heisenberg picture
Ecosystem services	Ecological goods and services
Tautological one-form	Hamiltonian mechanics
Tautological one-form	Hamiltonian mechanics
Tautological one-form	Hamiltonian mechanics
Tautological one-form	Hamiltonian mechanics
Polly and Molly	Roslin Institute
Polly and Molly	Pharming (genetics)
Joule expansion	Lennard-Jones potential
Cobweb plot	Orbit (dynamics)
Spin–orbit interaction	Potential well
Spin–orbit interaction	Bohr magneton
Spin–orbit interaction	Dresselhaus effect
Ann Arbor staging	Cancer staging
Biochemical cascade	STAT protein
Biochemical cascade	STAT3
Biochemical cascade	STAT3
Biochemical cascade	STAT protein
Biochemical cascade	G protein-coupled receptor
Repressor	RNA polymerase
Repressor	RNA polymerase
Classical Heisenberg model	Hamiltonian mechanics
Nernst effect	Hall effect
Wigner quasiprobability distribution	Wigner–Weyl transform
Wigner quasiprobability distribution	Wigner–Weyl transform
Wigner quasiprobability distribution	Wigner–Weyl transform
Wigner quasiprobability distribution	Wigner–Weyl transform
Cortex (botany)	Epidermis (botany)
RNA polymerase II	RNA polymerase
RNA polymerase II	RNA polymerase
RNA polymerase II	RNA polymerase I
RNA polymerase II	Mediator (coactivator)
RNA polymerase II	Messenger RNA
RNA polymerase II	RNA polymerase I
Action spectrum	Photosynthesis
Pharyngeal slit	Ernst Haeckel
Diamond cubic	Lattice (group)
Diamond cubic	Bravais lattice
DSCAM	Receptor (biochemistry)
DSCAM	X-ray crystallography
DSCAM	Messenger RNA
Osculating circle	Contact (mathematics)
Robinson–Schensted correspondence	Littlewood–Richardson rule
Sensory substitution	Neuroplasticity
Transformation (function)	Geometric transformation
Transformation (function)	Transformation geometry
Negri bodies	Camillo Golgi
Schrödinger–Newton equation	Roger Penrose
Schrödinger–Newton equation	Roger Penrose
Tim Mitchison	Marc Kirschner
Tim Mitchison	Marc Kirschner
Tim Mitchison	Marc Kirschner
Finite-difference time-domain method	Permeability (electromagnetism)
Finite-difference time-domain method	Eigenmode expansion
Finite-difference time-domain method	Beam propagation method
Nuclear magnetic resonance spectroscopy	Sine wave
Nuclear magnetic resonance spectroscopy	Pople notation
Nuclear magnetic resonance spectroscopy	Richard R. Ernst
Nuclear magnetic resonance spectroscopy	X-ray crystallography
Nuclear magnetic resonance spectroscopy	Nucleic acid double helix
Nuclear magnetic resonance spectroscopy	J-coupling
Nuclear magnetic resonance spectroscopy	Karplus equation
Nuclear magnetic resonance spectroscopy	Perturbed angular correlation
Lorentz scalar	General relativity
Electromagnetic tensor	Hamiltonian field theory
Dielectric heating	Temperature
Olivia Judson	W. D. Hamilton
Deoxyribozyme	Nucleic acid double helix
Deoxyribozyme	Messenger RNA
Deoxyribozyme	Chirality (chemistry)
Deoxyribozyme	Ribozyme
Electron paramagnetic resonance	Bohr magneton
Electron paramagnetic resonance	J-coupling
Ben Green (mathematician)	Cameron–Erdős conjecture
Flavour (particle physics)	Lie group
SO(10) (physics)	Lie group
SO(10) (physics)	Pati–Salam model
SO(10) (physics)	Pati–Salam model
AP site	Phosphodiester bond
Solar neutrino	Sudbury Neutrino Observatory
Solar neutrino	Sudbury Neutrino Observatory
Explicit symmetry breaking	Hamiltonian mechanics
Crossing (physics)	Richard Feynman
Crossing (physics)	Compton scattering
Pauli–Villars regularization	Wolfgang Pauli
Pauli–Villars regularization	Richard Feynman
Pauli–Villars regularization	Regularization (physics)
Velamen	Epidermis (botany)
Dual superconductor model	BCS theory
Time reversibility	Newton's laws of motion
Substitution model	Transition (genetics)
Substitution model	Transition (genetics)
Substitution model	Transition (genetics)
Substitution model	Transition (genetics)
Substitution model	Transition (genetics)
Substitution model	Thomas H. Jukes
Substitution model	Transition (genetics)
Substitution model	Transition (genetics)
Synteny	Genetic recombination
Vacuum polarization	Uehling potential
Indel	Single-nucleotide polymorphism
Moyal product	Poisson bracket
Moyal product	Wigner–Weyl transform
Moyal product	Darboux's theorem
Moyal product	Wigner–Weyl transform
Neuroplasticity	DNA damage (naturally occurring)
Neuroplasticity	Kinesiology
Critical point (thermodynamics)	Conformal field theory
Critical point (thermodynamics)	Rushbrooke inequality
Critical point (thermodynamics)	Scale invariance
Critical point (thermodynamics)	Self-organized criticality
Critical point (thermodynamics)	Tricritical point
Critical point (thermodynamics)	Upper critical solution temperature
Critical point (thermodynamics)	Widom scaling
Lipofuscin	Granule (cell biology)
Four-fermion interactions	BCS theory
Osmoconformer	Electrochemical gradient
Osmoconformer	Electrochemical gradient
Amyloid beta	Inflammation
Amyloid beta	Positron emission tomography
Error catastrophe	Error threshold (evolution)
Two-photon physics	Electromagnetism
Two-photon physics	Delbrück scattering
Chasman–Green lattice	Charged particle beam
Whitney umbrella	Local property
Banks–Zaks fixed point	Flavour (particle physics)
N,N'-Dicyclohexylcarbodiimide	Peptide synthesis
N,N'-Dicyclohexylcarbodiimide	ATP synthase
Electric potential energy	Norm (mathematics)
Bundle gerbe	Lie group
Biomineralization	Magnetotactic bacteria
Subshift of finite type	Hamiltonian mechanics
Subshift of finite type	Artin–Mazur zeta function
Subshift of finite type	De Bruijn graph
Euclidean plane isometry	Lie group
Millennium Run	Eris (simulation)
Surface plasmon resonance	Multi-parametric surface plasmon resonance
Surface plasmon resonance	Multi-parametric surface plasmon resonance
Surface plasmon resonance	Surface plasmon polariton
Vlasov equation	Boltzmann equation
Grain boundary	Burgers vector
Crystal twinning	X-ray crystallography
Intermediate disturbance hypothesis	Patch dynamics
Dimethylsulfoniopropionate	Coccolithophore
Gauge fixing	Josiah Willard Gibbs
Gauge fixing	Richard Feynman
Gauge fixing	Henri Poincaré
Gribov ambiguity	Section (fiber bundle)
Gribov ambiguity	BRST quantization
Solid-state nuclear magnetic resonance	J-coupling
Solid-state nuclear magnetic resonance	J-coupling
Solid-state nuclear magnetic resonance	Nuclear magnetic resonance decoupling
Regularization (physics)	Elementary particle
Regularization (physics)	Wolfgang Pauli
Regularization (physics)	Richard Feynman
Steady state (biochemistry)	Efflux (microbiology)
Steady state (biochemistry)	Depolarization
Spacetime symmetries	Segre classification
G protein-gated ion channel	G protein-coupled receptor
G protein-gated ion channel	Patch clamp
G protein-gated ion channel	G protein-coupled receptor
Relativistic mechanics	Event (relativity)
Mathematical formulation of the Standard Model	Electromagnetism
Mathematical formulation of the Standard Model	Old quantum theory
Mathematical formulation of the Standard Model	Heisenberg picture
Mathematical formulation of the Standard Model	Invariant mass
Mathematical formulation of the Standard Model	Pauli matrices
Mathematical formulation of the Standard Model	Weak isospin
Mathematical formulation of the Standard Model	Weak isospin
Mathematical formulation of the Standard Model	Electron
Mathematical formulation of the Standard Model	Weak isospin
Mathematical formulation of the Standard Model	Electron
Entropic force	Boltzmann equation
Entropic force	Entropic gravity
Hellmann–Feynman theorem	Wolfgang Pauli
Hellmann–Feynman theorem	Richard Feynman
Variational perturbation theory	Perturbation theory (quantum mechanics)
Electronic correlation	Slater determinant
Electronic correlation	BCS theory
Electronic correlation	Quantum Monte Carlo
Critical exponent	Rushbrooke inequality
Critical exponent	Widom scaling
Critical exponent	Graph theory
High-nutrient, low-chlorophyll regions	Photosynthesis
High-nutrient, low-chlorophyll regions	Advection
High-nutrient, low-chlorophyll regions	Zooplankton
High-nutrient, low-chlorophyll regions	Marine snow
Reed–Muller code	Natural number
Reed–Muller code	Hamming code
Reed–Muller code	Hamming code
Madelung constant	Cation-anion radius ratio
Petrov classification	Transversality (mathematics)
Petrov classification	Segre classification
Polarization identity	Norm (mathematics)
Ground tissue	Epidermis (botany)
Ground tissue	Epidermis (botany)
Ground tissue	Epidermis (botany)
Quantum tomography	Projection (linear algebra)
Quantum tomography	Projection (linear algebra)
Quantum tomography	Wigner quasiprobability distribution
Quantum tomography	Wigner quasiprobability distribution
Quantum tomography	Wigner quasiprobability distribution
Quantum tomography	Wigner quasiprobability distribution
Histogenesis	Brain
Histogenesis	Histology
Marine life	Biosequestration
Marine life	Ernst Haeckel
Marine life	Basal (phylogenetics)
Marine life	Basal (phylogenetics)
Marine life	Seabed
Marine life	Microalgae
Marine life	Phytoplankton
Marine life	Zooplankton
Marine life	Coccolithophore
Marine life	Aristotle
Symplectic integrator	Hamiltonian mechanics
Symplectic integrator	Poisson bracket
Symplectic integrator	Poisson bracket
Euler–Bernoulli beam theory	Beam (structure)
Euler–Bernoulli beam theory	Leonardo da Vinci
Causal dynamical triangulation	Path integral formulation
Causal dynamical triangulation	Asymptotic safety in quantum gravity
Causal dynamical triangulation	Loop quantum gravity
Spallation Neutron Source	Linear particle accelerator
John G. Cramer	Large Hadron Collider
Correlation dimension	Hausdorff dimension
Process (anatomy)	Appendage
Ettingshausen effect	Hall effect
Ettingshausen effect	Hall effect
Charles Darwin's education	Charles Darwin
Charles Darwin's education	Charles Darwin
Charles Darwin's education	Lamarckism
Nucleic acid double helix	Photo 51
Nucleic acid double helix	X-ray crystallography
Nucleic acid double helix	Genetic recombination
Dym equation	Bäcklund transform
Subcloning	Molecular cloning
Rayleigh–Ritz method	Normal mode
Meyer's theorem	Lattice (group)
Trajectory optimization	Simpson's rule
Faraday paradox	Magnetic flux quantum
Faraday paradox	Hamiltonian mechanics
Synaptonemal complex	Genetic recombination
Synaptonemal complex	DNA damage (naturally occurring)
Degree distribution	Graph theory
Stokes operators	Pauli matrices
Fixed-point index	Nielsen theory
Fixed-point index	Degree of a continuous mapping
Wu–Yang monopole	Magnetic monopole
Aeronomy	Sprite (lightning)
Aeronomy	Meteorology
Alcmaeon of Croton	Aristotle
Alcmaeon of Croton	Aristotle
CRISPR	RNA interference
CRISPR	Lamarckism
CRISPR	CRISPR/Cas Tools
CRISPR	Prime editing
Mathematical universe hypothesis	Digital Library of Mathematical Functions
Mathematical universe hypothesis	Undecidable problem
Mathematical universe hypothesis	Turing machine
Sergei Winogradsky	Biogeochemical cycle
Oxidative stress	DNA damage (naturally occurring)
Oxidative stress	DNA damage (naturally occurring)
Institution (computer science)	Intuitionistic logic
Dynamical billiards	Hamiltonian mechanics
Dynamical billiards	Poincaré map
Dynamical billiards	Oscillation
Eigenvalues and eigenvectors	Augustin-Louis Cauchy
Eigenvalues and eigenvectors	Henri Poincaré
Eigenvalues and eigenvectors	Hermann von Helmholtz
Eigenvalues and eigenvectors	Quadratic eigenvalue problem
Protein–protein interaction	Metabolic network
Protein–protein interaction	X-ray crystallography
Protein–protein interaction	Database of Interacting Proteins
Protein–protein interaction	Database of Interacting Proteins
Protein–protein interaction	RNA interference
Protein–protein interaction	RNA interference
Protein–protein interaction	RNA interference
Protein–protein interaction	Protein–protein interaction screening
Homological mirror symmetry	Calabi–Yau manifold
Homological mirror symmetry	Calabi–Yau manifold
Homological mirror symmetry	Topological quantum field theory
Shape resonance	Slater determinant
Homochirality	Chirality (chemistry)
Walter M. Elsasser	Mathematical and theoretical biology
Walter M. Elsasser	Mathematical and theoretical biology
Scattering theory	Elementary particle
Scattering theory	Compton scattering
Avoided crossing	Perturbation theory (quantum mechanics)
Avoided crossing	Perturbation theory (quantum mechanics)
Avoided crossing	Linear subspace
Interval arithmetic	Addition
Interval arithmetic	Maple (software)
Interval arithmetic	Significant figures
Jet (particle physics)	Event generator
Particle identification	Electromagnetism
Particle identification	Electron
Obstruction theory	Section (fiber bundle)
Donaldson's theorem	Donaldson theory
Tarski's axioms	Dense-in-itself
Multi-configuration time-dependent Hartree	Elementary particle
Complex Lie group	Lie group
Internal set	Standard part function
Internal set	Hyperreal number
ATM serine/threonine kinase	Messenger RNA
Recurrence quantification analysis	Recurrence plot
Recurrence quantification analysis	Recurrence plot
Ligand (biochemistry)	Nucleic acid double helix
Ligand (biochemistry)	Receptor (biochemistry)
Ligand (biochemistry)	Positron emission tomography
Ligand (biochemistry)	G protein-coupled receptor
Ligand (biochemistry)	Mass spectrometry
Ligand (biochemistry)	Multi-parametric surface plasmon resonance
Ligand (biochemistry)	Agonist
Raunkiær plant life-form	Epiphyte
Lewis Wolpert	Anatomy
Umklapp scattering	Wolfgang Pauli
Circular symmetry	Annulus (mathematics)
Crystallographic restriction theorem	Crystallographic point group
Vessel element	Tracheid
Calcium signaling	Oscillation
Calcium signaling	NAD+ kinase
Calcium signaling	Nanodomain
Negative refraction	Electromagnetism
Negative refraction	Multiple-prism dispersion theory
Negative refraction	Electromagnetism
Negative refraction	Permeability (electromagnetism)
Electron optics	Optical aberration
Electron optics	Charged particle beam
Electron optics	Electron microscope
Society for Cryobiology	Cryobiology
Phytolith	Charles Darwin
Phytolith	Plant pathology
Stirling numbers of the second kind	Bell number
Stirling numbers of the second kind	Bell number
Stirling numbers of the first kind	Gaussian binomial coefficient
Stirling numbers of the first kind	Bell number
Frontotemporal lobar degeneration	Linkage disequilibrium
Reduction potential	Electrochemical potential
Deep inelastic scattering	Perturbation theory (quantum mechanics)
Fermionic field	Einstein–Maxwell–Dirac equations
Beam crossing	Elementary particle
Beam crossing	Large Hadron Collider
Thermal Hall effect	Hall effect
Thermal Hall effect	Hall effect
Representation theory of the Lorentz group	Lie group
Representation theory of the Lorentz group	Bargmann–Wigner equations
Representation theory of the Lorentz group	Poisson bracket
Representation theory of the Lorentz group	Rarita–Schwinger equation
Representation theory of the Lorentz group	Pauli matrices
Representation theory of the Lorentz group	Pushforward (differential)
Representation theory of the Lorentz group	Clebsch–Gordan coefficients
Representation theory of the Lorentz group	3-j symbol
Representation theory of the Lorentz group	Bargmann–Wigner equations
Representation theory of the Lorentz group	Wigner's classification
Nambu–Jona-Lasinio model	BCS theory
FMRFamide	Receptor (biochemistry)
Electronic density	Slater determinant
Duru–Kleinert transformation	Richard Feynman
Naturalisation (biology)	Indigenous (ecology)
Naturalisation (biology)	Indigenous (ecology)
Momentum operator	Erwin Schrödinger
Momentum operator	Relativistic wave equations
Momentum operator	Pauli–Lubanski pseudovector
Genetically modified crops	Plant tissue culture
Genetically modified crops	Gene silencing
Docking (molecular)	X-ray crystallography
Docking (molecular)	X-ray crystallography
Gromov–Witten invariant	Raoul Bott
T-tubule	L-type calcium channel
Gauss's lemma (number theory)	Zolotarev's lemma
Electropherogram	DNA profiling
Nerve growth factor	Neurotrophin-4
Event reconstruction	Elementary particle
Neural adaptation	Transcranial magnetic stimulation
Haplogroup	Population genetics
Haplogroup	Genetic recombination
Haplogroup	Genetic recombination
Haplogroup	Molecular phylogenetics
Synonymous substitution	Messenger RNA
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	SNAP25
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	Vesicle (biology and chemistry)
SNARE (protein)	Complexin
Anosov diffeomorphism	Lie group
Quantum network	Hamming code
Quantum network	Entanglement distillation
Quantum network	Quantum Byzantine agreement
Bifurcation theory	Henri Poincaré
Bifurcation theory	Henri Poincaré
Bifurcation theory	Equilibrium point
Bifurcation theory	Bifurcation diagram
Bifurcation theory	Phase portrait
What Is Life?	Erwin Schrödinger
What Is Life?	Nucleic acid double helix
What Is Life?	Quantum Aspects of Life
Arithmetical set	Arithmetical hierarchy
SU(6) (physics)	Lie group
One-dimensional symmetry group	Coxeter notation
One-dimensional symmetry group	Coxeter notation
One-dimensional symmetry group	Lattice (group)
One-dimensional symmetry group	Lattice (group)
One-dimensional symmetry group	Space group
One-dimensional symmetry group	Wallpaper group
Droste effect	Scale invariance
Electrorotation	Dielectrophoresis
Benjamin W. Lee	Light dark matter
Cutting (plant)	Indole-3-acetic acid
Michelson–Gale–Pearson experiment	Michelson–Morley experiment
Michelson–Gale–Pearson experiment	Michelson–Morley experiment
Normal bundle	Darboux's theorem
Neurofibrillary tangle	Degeneration (medical)
Neurofibrillary tangle	RNA interference
Giant component	Graph theory
Carboxysome	X-ray crystallography
Stokes phenomenon	Argument (complex analysis)
Proofs involving covariant derivatives	Palatini identity
Long branch attraction	Molecular phylogenetics
Mooney–Rivlin solid	Polynomial (hyperelastic model)
Beal conjecture	Sums of powers
Magnetization	Permeability (electromagnetism)
Magnetization	Curie temperature
Magnetization	Magnetometer
Poincaré recurrence theorem	Henri Poincaré
Poincaré recurrence theorem	Recurrence plot
Poincaré recurrence theorem	Wandering set
Metencephalon	Myelencephalon
Glutamatergic	Cannabinoidergic
Monopole (mathematics)	Nahm equations
Monopole (mathematics)	Magnetic monopole
Autoreceptor	Receptor (biochemistry)
Autoreceptor	G protein-coupled receptor
Autoreceptor	G protein-coupled receptor
Zodiac Man	Aristotle
Ricci decomposition	Conformal geometry
Cell migration	Receptor (biochemistry)
Pamela Silver	Jessica Polka
Pamela Silver	Jessica Polka
Heirloom tomato	Heirloom plant
Conserved quantity	Hamiltonian mechanics
Hydrogen cycle	Biogeochemical cycle
Newton's identities	Faddeev–LeVerrier algorithm
Signed graph	Graph theory
Signed graph	Graph coloring
Lambda transition	Renormalization group
Resurrection plant	Hygrochasy
Wilhelm Roux	Ernst Haeckel
Bicoherence	Electroencephalography
Aposematism	Alfred Russel Wallace
Aposematism	Alfred Russel Wallace
Aposematism	Charles Darwin
Communalness	Artificial consciousness
Nucleoprotein	Active transport
Nucleoprotein	RNA polymerase
Structural stability	Henri Poincaré
Structural stability	Henri Poincaré
Structural stability	René Thom
Structural stability	Stability theory
Holger Bech Nielsen	Large Hadron Collider
Protein tag	Strep-tag
Protein tag	Strep-tag
Zeitgeber	Jürgen Aschoff
Zeitgeber	Charles Czeisler
Zeitgeber	Jürgen Aschoff
Zeitgeber	Seasonal affective disorder
Brainwave entrainment	Neural oscillation
Brainwave entrainment	Neural oscillation
Brainwave entrainment	Electroencephalography
Brainwave entrainment	Electroencephalography
Brainwave entrainment	Neural oscillation
Brainwave entrainment	Neural oscillation
Brainwave entrainment	Oscillation
Brainwave entrainment	Christiaan Huygens
Brainwave entrainment	Electroencephalography
Brainwave entrainment	Neural oscillation
Actin-binding protein	Coronin
Actin-binding protein	Formins
Actin-binding protein	Prefoldin
Nanotribology	Derjaguin approximation
Nanotribology	Biomimetics
Dual graph	Graph isomorphism
Dual graph	Graph isomorphism
Dual graph	Circuit rank
Dual graph	Seven Bridges of Königsberg
Equidistribution theorem	Wacław Sierpiński
Equidistribution theorem	Dirichlet's approximation theorem
Equidistribution theorem	Three-gap theorem
Stern–Brocot tree	Farey sequence
Stern–Brocot tree	Farey sequence
Event (particle physics)	Perturbation theory (quantum mechanics)
Perylene	X-ray crystallography
Leibniz integral rule	Reynolds transport theorem
Leibniz integral rule	Richard Feynman
Leibniz integral rule	Reynolds transport theorem
Partial veil	Veil (mycology)
Microemulsion	Josiah Willard Gibbs
Exchange bias	Curie temperature
Steinhaus–Johnson–Trotter algorithm	Loopless algorithm
Steinhaus–Johnson–Trotter algorithm	Fisher–Yates shuffle
Computational genomics	Intelligent Systems for Molecular Biology
Integrable system	Hamiltonian mechanics
Integrable system	Poisson bracket
Integrable system	Yang–Baxter equation
Integrable system	Yang–Baxter equation
Integrable system	Lagrange, Euler, and Kovalevskaya tops
Integrable system	Donaldson theory
Integrable system	Soliton
Diffusion MRI	Cancer staging
Fubini–Study metric	Hopf fibration
Fubini–Study metric	Fisher information metric
Happy ending problem	Crossing number (graph theory)
Adolf Portmann	Mathematical and theoretical biology
Conserved sequence	Population genetics
Conserved sequence	RNA polymerase
Conserved sequence	UCbase
Bernoulli scheme	Ornstein isomorphism theorem
Bernoulli scheme	Ornstein isomorphism theorem
Bacterial adhesin	Fungal adhesin
Ehrenfest theorem	Heisenberg picture
Ehrenfest theorem	Hamiltonian mechanics
Ehrenfest theorem	Poisson bracket
Ehrenfest theorem	Heisenberg picture
Ehrenfest theorem	Elementary particle
Bevatron	Large Hadron Collider
TOTEM experiment	Large Hadron Collider
TOTEM experiment	LHCb experiment
TOTEM experiment	Large Hadron Collider
Macromolecular docking	Protein
Macromolecular docking	X-ray crystallography
Macromolecular docking	X-ray crystallography
Macromolecular docking	Biomolecular complex
T. Ryan Gregory	Niles Eldredge
Montonen–Olive duality	Elementary particle
Montonen–Olive duality	N = 4 supersymmetric Yang–Mills theory
Montonen–Olive duality	Seiberg duality
Gravitational instanton	Calabi–Yau manifold
Conformal Killing vector field	Spacetime symmetries
Flow (mathematics)	Lie group
Flow (mathematics)	Orbit (dynamics)
Flow (mathematics)	Ornstein isomorphism theorem
Flow (mathematics)	Schröder's equation
Vector flow	Lie group
STAT protein	STAT2
STAT protein	STAT3
Depurination	Transition (genetics)
Eva Jablonka	Lamarckism
Patterson function	X-ray crystallography
Enzyme assay	Static light scattering
Through and through	Chirality (mathematics)
Problem of Apollonius	Symmetry in mathematics
Problem of Apollonius	Harold Scott MacDonald Coxeter
Problem of Apollonius	Lazare Carnot
Problem of Apollonius	Annulus (mathematics)
Problem of Apollonius	Hausdorff dimension
Central pattern generator	Whisking in animals
Heusler compound	Hall effect
Heusler compound	Curie temperature
Heusler compound	Bohr magneton
Heusler compound	Electron microscope
Heusler compound	Anti-phase domain
Molecular Structure of Nucleic Acids: A Structure for Deoxyribose Nucleic Acid	Erwin Schrödinger
Pulsed-field gel electrophoresis	Gel electrophoresis
Homeobox protein NANOG	RNA polymerase
Floer homology	Closed manifold
Floer homology	Donaldson theory
Floer homology	Calabi–Yau manifold
Ultraviolet fixed point	Renormalization group
Ultraviolet fixed point	Asymptotic safety in quantum gravity
Ultraviolet fixed point	Asymptotic safety in quantum gravity
Electrophoresis (disambiguation)	Dielectrophoresis
Electrophoresis (disambiguation)	Gel electrophoresis
Electrophoresis (disambiguation)	Gel electrophoresis of proteins
Electrophoresis (disambiguation)	Immunoelectrophoresis
Faddeev equations	Uniform convergence
Large gauge transformation	Lie group
Dielectric reluctance	Permeability (electromagnetism)
Topological quantum number	Topological quantum field theory
Magnetic reluctance	Permeance
Magnetic reluctance	Magnetic circuit
Hagedorn temperature	Large Hadron Collider
Weinberg–Witten theorem	BRST quantization
Weinberg–Witten theorem	General relativity
Weinberg–Witten theorem	Seiberg duality
Weinberg–Witten theorem	Seiberg duality
Weinberg–Witten theorem	Conformal field theory
Composition operator	Schröder's equation
Composition operator	Schröder's equation
Composition operator	Koenigs function
Loop integral	Feynman parametrization
Feynman parametrization	Richard Feynman
Gross–Neveu model	BCS theory
Schwinger parametrization	Feynman parametrization
Congruence (manifolds)	Lie group
Two-graph	Norm (mathematics)
MCM6	Mutation
Symmetry in mathematics	Lie group
Symmetry in mathematics	Reflection symmetry
Symmetry (physics)	Lie group
Symmetry (physics)	Metric tensor
Symmetry (physics)	Lie group
Symmetry (physics)	Lie group
Symmetry (physics)	Lie group
Symmetry (physics)	Spontaneous symmetry breaking
Sticky bead argument	Richard Feynman
Sticky bead argument	Richard Feynman
Genetic distance	A. W. F. Edwards
Genetic distance	Human genetic variation
Anomalous magnetic dipole moment	Proton magnetic moment
Unit propagation	Algorithm
Unit propagation	Resolution (logic)
Glide plane	Space group
Davis–Putnam algorithm	Resolution (logic)
Davis–Putnam algorithm	Resolution (logic)
Mott insulator	Hall effect
DPLL algorithm	Resolution (logic)
DPLL algorithm	DPLL(T)
DPLL algorithm	Unit propagation
DPLL algorithm	Resolution (logic)
X-ray absorption spectroscopy	Molecular physics
Synergetics (Haken)	Josiah Willard Gibbs
Phenomenology (physics)	Lattice gauge theory
Multiple integral	Wacław Sierpiński
Multiple integral	Stokes' theorem
Combinatorial design	Kirkman's schoolgirl problem
Combinatorial design	Linear space (geometry)
Molecular motor	ATP synthase
Molecular motor	RNA polymerase
Molecular motor	Optical tweezers
Cross education	Neurophysiology
Adjustable-speed drive	Variable-frequency drive
Adjustable-speed drive	DC injection braking
Dirichlet's approximation theorem	Hurwitz's theorem (number theory)
Giuga number	Carmichael number
Giuga number	Primary pseudoperfect number
Very Large Hadron Collider	Large Hadron Collider
Endoplasm	Granule (cell biology)
Endoplasm	Pseudopodia
Endoplasm	Sol (colloid)
Endoplasm	Messenger RNA
Spin tensor	Pauli–Lubanski pseudovector
Phytosociology	Association (ecology)
Larmor precession	Perturbed angular correlation
Infraparticle	Coleman–Mandula theorem
Infraparticle	Wigner's classification
International Code of Nomenclature for Cultivated Plants	Cultivated plant taxonomy
Proton Synchrotron	Large Hadron Collider
Genetic variability	DNA damage (naturally occurring)
Genetic variability	Mutation
Genetic variability	Human genetic variation
Introduction to quantum mechanics	Richard Feynman
Introduction to quantum mechanics	Measurement in quantum mechanics
Introduction to quantum mechanics	Erwin Schrödinger
Introduction to quantum mechanics	Wolfgang Pauli
Introduction to quantum mechanics	Wolfgang Pauli
Introduction to quantum mechanics	Erwin Schrödinger
Introduction to quantum mechanics	Bell's theorem
Introduction to quantum mechanics	Erwin Schrödinger
Introduction to quantum mechanics	Large Hadron Collider
Introduction to quantum mechanics	Macroscopic quantum phenomena
Introduction to quantum mechanics	Richard Feynman
Proof complexity	Resolution (logic)
Ocean acidification	Global Ocean Data Analysis Project
Ocean acidification	Bjerrum plot
Ocean acidification	Bjerrum plot
Larmor formula	Electromagnetic wave equation
Ehrenfest paradox	Physical paradox
Electrochemical gradient	ATP synthase
Electrochemical gradient	Active transport
Electrochemical gradient	Reversal potential
Electrochemical gradient	Protein
Electrochemical gradient	Reversal potential
Termination factor	Messenger RNA
Termination factor	RNA polymerase
Termination factor	RNA polymerase
Termination factor	RNA polymerase
Termination factor	ATP synthase
Termination factor	RNA polymerase I
RNA editing	RNA polymerase
RNA editing	RNA interference
RNA editing	RNA polymerase
Traffic flow	Boltzmann equation
Belle experiment	BaBar experiment
Belle experiment	SuperKEKB
KMS state	Heisenberg picture
